"Rank","NCT Number","Title","Acronym","Recruitment","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","Last Verified","First Submitted","First Posted","Results First Submitted","Results First Posted","Last Update Submitted","Last Update Posted","Locations","URL"
1,"NCT01078168","Alzheimer`s Disease Acitretin Medication","ADAM","Unknown status","No Results Available","Alzheimer Disease","Drug: Acitretin|Drug: Placebo","Difference in CSF APPSα concentration at Visit 3 compared to Baseline","Johannes Gutenberg University Mainz|Alzheimer Forschungsinitiative e.V. (AFI)","All","18 Years and older   (Adult, Senior)","Phase 2","76","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ADAM|2009-011881-27","March 2010","April 2011","April 2011","September 2010","March 1, 2010","March 2, 2010","null","null","September 14, 2010","October 12, 2017","Department of psychiatry and psychotherapy, University medical center of the Johannes Gutenberg-University Mainz, Mainz, Rheinland-Pfalz, Germany","https://ClinicalTrials.gov/show/NCT01078168"
2,"NCT02208193","Alzheimer's Disease, Art and Garden","JAZ ART","Unknown status","No Results Available","Alzheimer Disease","Behavioral: Cognitive and psycho-behavioral effects of an artistic dimension","Comparaison of the number of language acts in each category between AD and controls subjects|Scores obtained in standard neuropsychological tests, in particular to assess spatio-temporal orientation (Folstein MMSE),|Scores obtained with the "" MemoArtZ "" tool (MAZ) to evaluate the memorization of artistic elements of the garden,|Scores from the "" General Esthetic Preference "" (GEP) tool to evaluate the consistency of general esthetic appreciations,|obtained with the specific mood assessment scale (CSDD) for subjects in group A|Score obtained with the specific assessment of emotional events scale (AES) for all subjects.","Central Hospital, Nancy, France","All","60 Years and older   (Adult, Senior)","","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2014-A00139-38","July 2014","October 2016","September 2017","July 2015","July 22, 2014","August 4, 2014","null","null","July 29, 2015","July 30, 2015","CHU Nancy, Nancy, France","https://ClinicalTrials.gov/show/NCT02208193"
3,"NCT00076440","Antigonadotropin-Leuprolide in Alzheimer's Disease Drug INvestigation (ALADDIN) VP 104 Study","null","Completed","No Results Available","Alzheimer Disease","Drug: Leuprolide acetate","","Voyager Pharmaceutical Corporation|National Institute on Aging (NIA)","Male","65 Years and older   (Adult, Senior)","Phase 2","90","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","IA0051","December 2003","March 2007","March 2007","March 2007","January 22, 2004","January 26, 2004","null","null","December 10, 2009","December 11, 2009","Margolin Brain Institute, Fresno, California, United States|Bay Area Research Institute, Lafayette, California, United States|Southwest Clinical Research, Rancho Mirage, California, United States|Geriatric and Adult Psychiatry LLC, Hamden, Connecticut, United States|Baumel-Eisner Neuromedical Institute, Boca Raton, Florida, United States|Brain Matters Research, Delray Beach, Florida, United States|Baumel-Eisner Neuromedical Institute, Ft. Lauderdale, Florida, United States|Baumel-Eisner Neuromedical Institute, Miami Beach, Florida, United States|Meridien Research, St. Petersburg, Florida, United States|Boston University School of Medicine, Boston, Massachusetts, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Innovative Clinical Research Center, Alexandria, Virginia, United States|Middleton VA Wisconsin Alzheimer's Institute, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00076440"
4,"NCT01867372","Early Markers of Alzheimer's Disease: Structural and Functional Brain Changes","null","Terminated","No Results Available","Alzheimer's Disease","","Accelerated preclinical changes in brain structure and function in specific regions will predict which individuals develop cognitive impairment and Alzheimer s disease|Changes in brain structure are predictors of cognitive decline and impairment though neuroimaging assessments","National Institute on Aging (NIA)|Johns Hopkins University|National Institutes of Health Clinical Center (CC)","All","20 Years and older   (Adult, Senior)","","300","NIH|Other","Observational","Time Perspective: Other","999903328|03-AG-N328","March 10, 2003","September 22, 2014","September 22, 2014","September 22, 2014","May 30, 2013","June 4, 2013","null","null","July 6, 2017","July 7, 2017","Johns Hopkins University, Baltimore, Maryland, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|National Institute of Aging, Clinical Research Unit, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01867372"
5,"NCT03168997","Memantine Treatment in Alzheimer's Disease Patients","null","Not yet recruiting","No Results Available","Alzheimer Disease","Drug: Memantine Hydrochloride","ADAS-cog change","Wei Cuibai|Xuanwu Hospital, Beijing","All","50 Years and older   (Adult, Senior)","Phase 4","222","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","17237T","July 15, 2017","September 30, 2018","December 31, 2018","May 2017","May 16, 2017","May 30, 2017","null","null","May 25, 2017","May 30, 2017","","https://ClinicalTrials.gov/show/NCT03168997"
6,"NCT00088673","Evaluation of 3APS in Patients With Mild to Moderate Alzheimer’s Disease","null","Unknown status","No Results Available","Alzheimer Disease","Drug: 3APS","The two primary efficacy parameters are the change from baseline to month 18 in the Alzheimer's Disease Assessment Scale, cognitive subpart (ADAS-cog) and the clinical Deterioration Scale Sum of Boxes (CDR-SB) scores.|The brain volume change from baseline as measured by Magnetic Resonance Imaging will also be assessed.","Bellus Health Inc","All","50 Years and older   (Adult, Senior)","Phase 3","950","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CL-758007","June 2004","null","null","February 2007","July 30, 2004","August 3, 2004","null","null","February 27, 2007","February 28, 2007","Pivotal Research Centers, Peoria, Arizona, United States|21st Century Neurology, a division of Xenoscience, Phoenix, Arizona, United States|Central Arkansas Research, Hot Springs, Arkansas, United States|Margolin Brain Institute, Fresno, California, United States|Senior Clinical Trials, Inc., Laguna Hills, California, United States|Pacific Research Network, Inc., San Diego, California, United States|San Francisco Clinical Research Center, San Francisco, California, United States|Radiant Research, Denver, Colorado, United States|Research Center for Clinical Studies, Inc., Darien, Connecticut, United States|Yale University, Alzheimer's Disesase Research Unit, New Haven, Connecticut, United States|New England Research Institute, Stamford, Connecticut, United States|Georgetown University Medical Center, Washington, District of Columbia, United States|Neuropsychiatric Research Center of SouthWest Florida, Fort Myers, Florida, United States|Berma Research Group, Hialeah, Florida, United States|Tukoi Institute for Clinical Research, Miami, Florida, United States|Palm Beach Neurological Center, Palm Beach Gardens, Florida, United States|Quantum Laboratories Inc at the Memory Disorders Clinic, North Broward Medical Center, Pompano Beach, Florida, United States|Axiom Clinical Research, Tampa, Florida, United States|Byrd Alzheimer’s Center and Research Institute, Tampa, Florida, United States|Stedman Clinical Trials, Tampa, Florida, United States|University of South Florida, Suncoast Gerontology Center, Tampa, Florida, United States|Premiere Research Institute Palm Beach Neurology, West Palm Beach, Florida, United States|Comprehensive Neurology Specialists, PC, Atlanta, Georgia, United States|Emory University, Atlanta, Georgia, United States|Southern Illinois University (SIU) School of Medicine, Department of Neurology, Springfield, Illinois, United States|Brigham & Women's Hospital, Boston, Massachusetts, United States|Mood & Memory Clinic - Dr Aronson, Farmington Hills, Michigan, United States|Memory Enhancement Center, Long Branch, New Jersey, United States|Neurological Associates of Albany, Albany, New York, United States|Eastside Comprehensive Medical Center, New York, New York, United States|NYU School of Medicine, New York, New York, United States|Global Research and Consulting, Olean, New York, United States|Nathan S. Kline Institute, Orangeburg, New York, United States|University of Rochester-Program in Neurobehavioral Therapeutics, Rochester, New York, United States|Richard H. Weisler, MD, PA and Associates, Raleigh, North Carolina, United States|Wake Forest University School of Medicine, Department of Psychiatry and Behavioral Medicine, Winston-Salem, North Carolina, United States|University Memory and Aging Center, Cleveland, Ohio, United States|Neurology and Neuroscience Center of Ohio, Toledo, Ohio, United States|Clinical Pharmaceuticals Trials, Inc., Tulsa, Oklahoma, United States|CNS Research Institute, Philadelphia, Pennsylvania, United States|Farber Institute for Neurosciences, Philadelphia, Pennsylvania, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh ADRC, Pittsburgh, Pennsylvania, United States|CNS Research, Inc., East Providence, Rhode Island, United States|Memory and Aging Program, Butler Hospital, Providence, Rhode Island, United States|MUSC - Alzheimer's Research and Clinical Programs, North Charleston, South Carolina, United States|Clinical Research Services at Tennessee Christian Medical Center, Madison, Tennessee, United States|University of Texas Mental Sciences Institute, Houston, Texas, United States|Air Force Villages-Freedom House Research (Study open to Air Force Village residents only), San Antonio, Texas, United States|The Memory Clinic, Bennington, Vermont, United States|Calgary, Alberta, Canada|The Medical Arts Health Research Group, a Division of PCT Networks, Inc., Penticton, British Columbia, Canada|St. Joseph's Hospital, Saint-John, New Brunswick, Canada|Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|Queen's University, Kingston, Ontario, Canada|Geriatric Clinical Trials Group, Parkwood Hospital, London, Ontario, Canada|Ottawa, Ontario, Canada|Gerontion Research, Toronto, Ontario, Canada|Sunnybrook and Women's College Health Science Centre, Toronto, Ontario, Canada|Toronto Memory Program, Toronto, Ontario, Canada|Clinique Neuro Rive-Sud, Greenfield Park, Quebec, Canada|Hôpital Maisonneuve-Rosemont, Recherche Clinique de Neurologie, Montreal, Quebec, Canada|Jewish General Hospital- Memory Clinic, Montreal, Quebec, Canada|Centre de recherche Novabyss, Sherbrooke, Quebec, Canada|McGill Centre for Studies in Aging, Verdun (Montreal), Quebec, Canada|Hôpital de l'Enfant-Jésus, Ville de Quebec, Quebec, Canada|Memory & Motor Skills Disorders Clinic, Ville de Québec, Quebec, Canada","https://ClinicalTrials.gov/show/NCT00088673"
7,"NCT00051909","Efficacy and Safety of LY451395 in Patients With Probable Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease","Drug: LY451395","","Eli Lilly and Company","All","50 Years and older   (Adult, Senior)","Phase 2","200","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","6764|H6N-MC-LEAM","November 2002","null","June 2003","July 2006","January 17, 2003","January 20, 2003","null","null","July 18, 2006","July 19, 2006","Beverly Hills, California, United States|Fresno, California, United States|Boca Raton, Florida, United States|Fort Lauderdale, Florida, United States|Miami Beach, Florida, United States|Boston, Massachusetts, United States|Oklahoma City, Oklahoma, United States|Tulsa, Oklahoma, United States|Wichita Falls, Texas, United States","https://ClinicalTrials.gov/show/NCT00051909"
8,"NCT00007189","Alzheimer's Disease Anti-Inflammatory Prevention Trial (ADAPT)","null","Completed","No Results Available","Alzheimer Disease","Drug: Naproxen Sodium (Aleve)|Drug: Celecoxib (Celebrex)","","Seattle Institute for Biomedical and Clinical Research|National Institute on Aging (NIA)|VA Puget Sound Health Care System|University of Washington|Johns Hopkins University","All","70 Years and older   (Senior)","Phase 3","2625","Other|NIH|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Prevention","IA0026|U01AG015477","January 2001","May 2007","null","October 2016","December 14, 2000","December 14, 2000","null","null","October 18, 2016","October 19, 2016","Sun Health Research Institute, Sun City, Arizona, United States|Roskamp Institute Memory Clinic, 10770 N. 46th Street, Tampa, Florida, United States|Johns Hopkins University, Baltimore, Maryland, United States|Boston University School of Medicine, Boston, Massachusetts, United States|University of Rochester, Rochester, New York, United States|Veterans Affairs Puget Sound Health Care System, University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00007189"
9,"NCT02290912","Gray Matters Alzheimer's Disease Prevention Intervention","null","Completed","No Results Available","Alzheimer's Disease","Behavioral: Health education program","Picture Vocabulary|Flanker Inhibitory Control and Attention Test|List Sorting Working Memory Test|Oral Symbol Digit Test|Montreal Cognitive Assessment|Rey Auditory Verbal Learning Test|Controlled Oral Word Association Test|Blood pressure|Body mass index|Insulin|Systemic inflammation|Skin carotenoid status|Triglycerides|HDL Cholesterol|LDL Cholesterol|Total cholesterol|Depression|Motivation|Sleep Quality|Stress|Emotional Support|Friendship|Hostility|Loneliness|Physical Activity - Moderate|Physical Activity - Vigorous|Nutrition|Readiness for Change|Metacognition","Utah State University","All","40 Years to 64 Years   (Adult)","","146","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","5606","April 2014","December 2014","December 2014","December 2015","November 6, 2014","November 14, 2014","null","null","December 2, 2015","December 3, 2015","","https://ClinicalTrials.gov/show/NCT02290912"
10,"NCT00100334","Safety Study of PPI-1019 in Subjects With Mild-Moderate Alzheimer’s Disease","null","Completed","No Results Available","Alzheimer's Disease","Drug: PPI-1019 (APAN)","Safety will be assessed through the occurrence of clinical adverse events and the occurrence of clinically significant changes from baseline.","PRAECIS Pharmaceuticals Inc.","All","50 Years to 80 Years   (Adult, Senior)","Phase 1|Phase 2","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","1019-04-01","December 2004","null","August 2005","September 2006","December 29, 2004","December 30, 2004","null","null","September 18, 2006","September 19, 2006","Silverado Senior Living, San Juan Capistrano, California, United States","https://ClinicalTrials.gov/show/NCT00100334"
