"nct_number","locnum","state","city","institution"
"NCT00000171",1," Arizona"," Tucson","University of Arizona"
"NCT00000171",2," California"," Irvine","University of California Irvine Institute for Brain Aging and Dementia"
"NCT00000171",3," California"," La Jolla"," San Diego,University of California"
"NCT00000171",4," California"," Los Angeles","University of Southern California"
"NCT00000171",5," California"," Los Angeles"," Los Angeles,University of California"
"NCT00000171",6," Connecticut"," New Haven"," Alzheimer's Disease ResearchUnit,Yale University"
"NCT00000171",7," Florida"," Jacksonville","Mayo Clinic Jacksonville"
"NCT00000171",8," Florida"," Miami","Mount Sinai (Miami)"
"NCT00000171",9," Florida"," Tampa","University of South Florida"
"NCT00000171",10," Georgia"," Atlanta","Emory University"
"NCT00000171",11," Georgia"," Augusta","Augusta VA Medical Center"
"NCT00000171",12," Illinois"," Springfield","Southern Illinois University"
"NCT00000171",13," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00000171",14," Kentucky"," Lexington","University of Kentucky"
"NCT00000171",15," Maryland"," Baltimore","Johns Hopkins University"
"NCT00000171",16," Michigan"," Ann Arbor","University of Michigan"
"NCT00000171",17," Minnesota"," Minneapolis","University of Minnesota"
"NCT00000171",18," Minnesota"," Rochester","Mayo Clinic at Rochester"
"NCT00000171",19," Missouri"," St. Louis","Washington University"
"NCT00000171",20," New York"," New York","New York University Medical Center"
"NCT00000171",21," New York"," New York","Columbia University"
"NCT00000171",22," New York"," Rochester","University of Rochester Medical Center"
"NCT00000171",23," Ohio"," Cleveland","University Hospitals of Cleveland"
"NCT00000171",24," Oregon"," Portland","Oregon Health Sciences University"
"NCT00000171",25," Pennsylvania"," Philadelphia","University of Pennsylvania"
"NCT00000171",26," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00000171",27," Rhode Island"," Pawtucket","Brown University"
"NCT00000171",28," Tennessee"," Nashville","Vanderbilt University Medical Center"
"NCT00000171",29," Texas"," Dallas","University of Texas"
"NCT00000171",30," Texas"," Houston","Baylor College of Medicine"
"NCT00000171",31," Washington"," Seattle","University of Washington"
"NCT00000172",1," Alabama"," Birmingham"," Birmingham,University of Alabama"
"NCT00000172",2," Arizona"," Scottsdale"," Ltd., M.D.,James L. Frey"
"NCT00000172",3," California"," Berkeley","East Bay Neurology"
"NCT00000172",4," California"," Los Angeles","University of Southern California"
"NCT00000172",5," California"," Oceanside","N. County Neurology Assoc."
"NCT00000172",6," California"," Orange","University of California Irvine Medical Center"
"NCT00000172",7," California"," San Diego","Pacific Research Network (PRN)"
"NCT00000172",8," California"," San Diego","Affiliated Research Institute"
"NCT00000172",9," California"," San Diego","INC"
"NCT00000172",10," Colorado"," Denver","The Denver Center for Medical Research"
"NCT00000172",11," Connecticut"," Hamden","Geriatric and Adult Psychiatry"
"NCT00000172",12," Connecticut"," New Haven"," School of Medicine,Yale University"
"NCT00000172",13," Florida"," Ocala","Ocala Neurodiagnostic Center"
"NCT00000172",14," Florida"," Orlando","Psychiatric Institute of Florida"
"NCT00000172",15," Florida"," Sarasota"," PA,Neurological Research Institute of Sarasota"
"NCT00000172",16," Florida"," St. Petersburg"," Inc.,Suncoast Neuroscience Associates"
"NCT00000172",17," Florida"," West Palm Beach","Premiere Research Institute"
"NCT00000172",18," Illinois"," Chicago","Chicago Center for Clinical Research"
"NCT00000172",19," Illinois"," Peoria","OSF Center for Senior Health"
"NCT00000172",20," Indiana"," Indianapolis","Indiana Alzheimer's University Clinic"
"NCT00000172",21," Maryland"," Baltimore","The Johns Hopkins Hospital"
"NCT00000172",22," Massachusetts"," Boston","Brigham Behavioral Neurology Group"
"NCT00000172",23," Massachusetts"," Wellesley Hills","Boston Clinical Research Center"
"NCT00000172",24," Massachusetts"," Worcester","University of Massachusetts Worcester"
"NCT00000172",25," Michigan"," Dearborn","Oakwood Hospital and Medical Center"
"NCT00000172",26," Michigan"," Grand Rapids","Michigan Medical P.C."
"NCT00000172",27," Minnesota"," St. Paul","Regions Hospital"
"NCT00000172",28," Missouri"," St. Louis","St. Louis University School of Medicine"
"NCT00000172",29," Missouri"," St. Louis","Washington University"
"NCT00000172",30," Nebraska"," Omaha","University of Nebraska"
"NCT00000172",31," New Jersey"," Piscataway","University of Medicine and Dentistry of New Jersey"
"NCT00000172",32," New Jersey"," Ridgewood","Neurology Group of Bergen County"
"NCT00000172",33," New Jersey"," Summit","Overlook Hospital"
"NCT00000172",34," New Jersey"," West Long Branch","Medwise Center"
"NCT00000172",35," New York"," Albany"," PC,Neurological Associates of Albany"
"NCT00000172",36," New York"," Centereach","East End Neuropsychiatric Associates"
"NCT00000172",37," New York"," Far Rockaway","St. John's Episcopal Hospital"
"NCT00000172",38," New York"," New York","NYU Medical Center"
"NCT00000172",39," New York"," Rochester","University of Rochester"
"NCT00000172",40," New York"," Stony Brook","SUNY Stony Brook"
"NCT00000172",41," Ohio"," Columbus","Ohio State University"
"NCT00000172",42," Oklahoma"," Tulsa","Clinical Pharmaceutical Trials"
"NCT00000172",43," Oregon"," Portland","Oregon Health Sciences University"
"NCT00000172",44," Oregon"," Portland","Pacific NW Clinical Research Center"
"NCT00000172",45," Pennsylvania"," Elkins Park","Institute for Advanced Clinical Research"
"NCT00000172",46," Pennsylvania"," Greensburg","Neuroscience Center of Westmoreland Neurology"
"NCT00000172",47," Rhode Island"," Pawtucket","Brown University"
"NCT00000172",48," South Carolina"," North Charleston","Alzheimer's Research and Clinical Programs"
"NCT00000172",49," Texas"," Dallas","University of Texas"
"NCT00000172",50," Vermont"," Bennington","Southwestern Vermont Medical Center"
"NCT00000172",51," Vermont"," Colchester","Memory Disorder Center of Vermont"
"NCT00000172",52," Virginia"," Alexandria","Virginia Neuroscience Center"
"NCT00000172",53," Virginia"," Manassas","Prince William Neuroscience Center"
"NCT00000172",54," Washington"," Seattle","Seattle Clinical Research Center"
"NCT00000172",55," Washington"," Seattle","VAPS Health Care System"
"NCT00000173",1," Arizona"," Phoenix","Barrow Neurological Group"
"NCT00000173",2," Arizona"," Tucson","University of Arizona"
"NCT00000173",3," California"," Irvine","UC Irvine Institute for Brain Aging and Dementia"
"NCT00000173",4," California"," Los Angeles","University of Southern California"
"NCT00000173",5," California"," Los Angeles"," Los Angeles,University of California"
"NCT00000173",6," California"," Martinez","East Bay Institute"
"NCT00000173",7," California"," Sacramento","Sutter Institute for Medical Research"
"NCT00000173",8," California"," San Diego","Affiliated Research Instiute"
"NCT00000173",9," California"," San Diego"," San Diego,University of California"
"NCT00000173",10," California"," San Francisco"," San Francisco,University of California"
"NCT00000173",11," Connecticut"," New Haven","Yale University"
"NCT00000173",12," Florida"," Boca Raton"," Boca Raton,Baumel-Eisner Neuromedical Institute"
"NCT00000173",13," Florida"," Ft. Lauderdale"," Ft. Lauderdale,Baumel-Eisner Neuromedical Institute"
"NCT00000173",14," Florida"," Jacksonville","Mayo Clinic Jacksonville"
"NCT00000173",15," Florida"," Miami Beach","Wein Center"
"NCT00000173",16," Florida"," Miami Beach"," MiamiBeach,Baumel-Eisner Neuromedical Institute"
"NCT00000173",17," Florida"," Port Charlotte","University of Miami"
"NCT00000173",18," Florida"," Tampa","University of South Florida"
"NCT00000173",19," Florida"," West Palm Beach","Premiere Research Institute"
"NCT00000173",20," Georgia"," Atlanta","Emory University"
"NCT00000173",21," Georgia"," Augusta","Augusta VA Medical Center"
"NCT00000173",22," Illinois"," Chicago","Northwestern University"
"NCT00000173",23," Illinois"," Chicago","Rush Presbyterian St. Luke's Medical Center"
"NCT00000173",24," Illinois"," Springfield","Southern Illinois University"
"NCT00000173",25," Indiana"," Indianapolis","Indiana University"
"NCT00000173",26," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00000173",27," Kentucky"," Lexington","University of Kentucky"
"NCT00000173",28," Maryland"," Baltimore","Johns Hopkins University"
"NCT00000173",29," Massachusetts"," Boston","Massachusetts General Hospital"
"NCT00000173",30," Michigan"," Ann Arbor","University of Michigan"
"NCT00000173",31," Minnesota"," Minneapolis","University of Minnesota"
"NCT00000173",32," Minnesota"," Rochester","Mayo Clinic"
"NCT00000173",33," Missouri"," St. Louis","Washington University"
"NCT00000173",34," Nevada"," Las Vegas","University of Nevada"
"NCT00000173",35," New Hampshire"," Lebanon","Dartmouth Hitchcock Medical Center"
"NCT00000173",36," New Jersey"," Lakehurst","Memory Disorders Institute"
"NCT00000173",37," New Jersey"," Princeton"," PA,Princeton Biomedical Research"
"NCT00000173",38," New Jersey"," Summit"," Inc.,ClinSearch"
"NCT00000173",39," New Jersey"," Toms River","Princeton Biomedical - Toms River"
"NCT00000173",40," New Jersey"," West Long Branch","Alzheimer's Research Corp."
"NCT00000173",41," New Mexico"," Albuquerque","Univ. of New Mexico"
"NCT00000173",42," New York"," Brooklyn","Maimonides Medical Center"
"NCT00000173",43," New York"," New York","NYU Medical Center"
"NCT00000173",44," New York"," New York","Mount Sinai Medical Center"
"NCT00000173",45," New York"," New York","Columbia University"
"NCT00000173",46," New York"," Orangeburg","Nathan S. Kline Institute for Psychiatric Research"
"NCT00000173",47," New York"," Rochester","University of Rochester"
"NCT00000173",48," New York"," Stony Brook","SUNY Stony Brook"
"NCT00000173",49," New York"," White Plains","Burke Medical Research Institute"
"NCT00000173",50," North Carolina"," Durham","Duke University Medical Center"
"NCT00000173",51," Ohio"," Cleveland","University Hospitals of Cleveland"
"NCT00000173",52," Oregon"," Portland","Oregon Health Sciences University"
"NCT00000173",53," Pennsylvania"," Philadelphia","University of Pennsylvania"
"NCT00000173",54," Pennsylvania"," Philadelphia","MCP Hahnemann"
"NCT00000173",55," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00000173",56," Rhode Island"," Pawtucket","Brown University"
"NCT00000173",57," South Carolina"," North Charleston","Medical University of South Carolina"
"NCT00000173",58," Tennessee"," Nashville","Vanderbilt University Medical Center"
"NCT00000173",59," Texas"," Houston","Baylor College of Medicine"
"NCT00000173",60," Vermont"," Bennington","Southwestern Vermont Medical Center"
"NCT00000173",61," Vermont"," Burlington","Clinical Neuroscience Research Unit"
"NCT00000173",62," Washington"," Seattle","University of Washington"
"NCT00000173",63," Wisconsin"," Marshfield","Marshfield Clinic"
"NCT00000174",1," Arizona"," Peoria","Medici Research Centers"
"NCT00000174",2," California"," Orange"," Irvine,University of California"
"NCT00000174",3," Colorado"," Denver","University of Colorado Health Sciences Center"
"NCT00000174",4," Florida"," Ft. Lauderdale"," Miami Beach and Boca Raton),Neuromedical Research Institute (Offices in Ft. Lauderdale"
"NCT00000174",5," Florida"," Miami","Miami Research Associates"
"NCT00000174",6," Florida"," Venice","Center for Clinical Trials and Research"
"NCT00000174",7," Indiana"," Indianapolis","Indiana University Alzheimer's Center"
"NCT00000174",8," Missouri"," St. Louis","St. Louis University"
"NCT00000174",9," New Jersey"," Lakewood","Alzheimer's Research Corporation"
"NCT00000174",10," New York"," New York","NYU Medical Center"
"NCT00000174",11," North Carolina"," Durham","Duke University Medical Center"
"NCT00000174",12," Oklahoma"," Oklahoma City"," P.C.,Pahl Brain Associates"
"NCT00000174",13," Pennsylvania"," Philadelphia"," Philadelphia, Ltd.,Clinical Studies"
"NCT00000174",14," Texas"," Dallas","St. Paul Medical Center"
"NCT00000174",15," Washington"," Seattle"," Seattle,University of Washington"
"NCT00000176",1," Alabama"," Birmingham","University of Alabama"
"NCT00000176",2," California"," Irvine"," Irvine,University of California"
"NCT00000176",3," Connecticut"," Stamford","New England Center for Headache"
"NCT00000176",4," District of Columbia"," Washington","Howard University"
"NCT00000176",5," Florida"," Fort Myers","Lee Memorial Health System"
"NCT00000176",6," Florida"," Jacksonville","Mayo Clinic Jacksonville"
"NCT00000176",7," Florida"," Miami Beach","Wein Center"
"NCT00000176",8," Florida"," Pensacola","West Florida Regional Medical Center"
"NCT00000176",9," Florida"," Pompano Beach","North Broward Medical Center"
"NCT00000176",10," Florida"," Tallahassee","Tallahassee Memorial Health Center"
"NCT00000176",11," Florida"," West Palm Beach","St. Mary's Medical Center"
"NCT00000176",12," Maryland"," Baltimore","Johns Hopkins Bayview Medical Center"
"NCT00000176",13," New Jersey"," Ridgewood","Neurology Group of Bergen County"
"NCT00000176",14," New York"," New York","Columbia University"
"NCT00000176",15," New York"," New York"," New York Presbyterian Medical Center,Cornell Medical Center"
"NCT00000176",16," New York"," Port Chester","New York United Hospital Medical Center"
"NCT00000176",17," New York"," White Plains","Burke Medical Research Institute"
"NCT00000176",18," North Carolina"," Durham","Duke University Medical Center"
"NCT00000176",19," Oklahoma"," Tulsa","Clinical Pharmaceutical Trials"
"NCT00000176",20," Rhode Island"," Providence"," Rhode Island Hospital,Butler Hospital"
"NCT00000176",21," South Carolina"," North Charleston","Medical University of South Carolina"
"NCT00000176",22," Virginia"," Norfolk","Eastern Virginia Medical School"
"NCT00000177",1," Alabama"," Birmingham"," Birmingham,University of Alabama"
"NCT00000177",2," California"," San Diego"," San Diego,University of California"
"NCT00000177",3," Florida"," Jacksonville","Mayo Clinic Jacksonville"
"NCT00000177",4," Florida"," Tampa","University of South Florida"
"NCT00000177",5," Georgia"," Atlanta","Emory University"
"NCT00000177",6," Illinois"," Chicago","Rush Presbyterian St. Luke's Medical Center"
"NCT00000177",7," Illinois"," Springfield","Southern Illinois University"
"NCT00000177",8," Indiana"," Indianapolis","Indiana University Medical Center"
"NCT00000177",9," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00000177",10," Kentucky"," Lexington","University of Kentucky"
"NCT00000177",11," Maryland"," Baltimore","Johns Hopkins University"
