"","nct_number","recruitment","interventions","gender","study_type","city","state_name","phase","cleaned_age","state_code","location","lat","lng"
"1","NCT00076440","Completed","Drug","Male","Interventional","Fresno","California","Phase 2","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
"57","NCT01867372","Terminated","Not available","All","Observational","Baltimore","Maryland","Not available","Adult, Senior","MD","Baltimore , MD","39.2903848","-76.6121893"
"159","NCT00088673","Unknown status","Drug","All","Interventional","Peoria","Arizona","Phase 3","Adult, Senior","AZ","Peoria , AZ","33.5805955","-112.2373779"
"173","NCT00051909","Completed","Drug","All","Interventional","Beverly Hills","California","Phase 2","Adult, Senior","CA","Beverly Hills , CA","34.0736204","-118.4003563"
"178","NCT00007189","Completed","Drug","All","Interventional","Sun City","Arizona","Phase 3","Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"279","NCT00100334","Completed","Drug","All","Interventional","San Juan Capistrano","California","Phase 1","Adult, Senior","CA","San Juan Capistrano , CA","33.5019027","-117.6627655"
"280","NCT00762411","Completed","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"493","NCT00870519","Terminated","Drug","All","Interventional","New Haven","Connecticut","Phase 1","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"658","NCT01703117","Recruiting","Drug","All","Interventional","New York","New York","Phase 2","Adult, Senior","NY","New York , NY","40.7127753","-74.0059728"
"894","NCT01254448","Completed","Drug","All","Interventional","Long Beach","California","Phase 1","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"955","NCT01782742","Completed","Drug","All","Interventional","Las Vegas","Nevada","Phase 2","Adult, Senior","NV","Las Vegas , NV","36.1699412","-115.1398296"
"1035","NCT01354444","Completed","Drug","All","Interventional","Baltimore","Maryland","Phase 4","Child, Adult, Senior","MD","Baltimore , MD","39.2903848","-76.6121893"
"1137","NCT00100282","Completed","Drug","All","Interventional","Orange","California","Phase 1","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"1183","NCT01608061","Active, not recruiting","Device","All","Interventional","Phoenix","Arizona","Not available","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"1396","NCT01908010","Completed","Drug","All","Interventional","Miami","Florida","Phase 1","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"1623","NCT02220738","Terminated","Drug","All","Interventional","Glendale","California","Phase 1","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"1671","NCT01883648","Terminated","Drug","All","Interventional","Tampa","Florida","Phase 2","Adult, Senior","FL","Tampa , FL","27.950575","-82.4571776"
"1852","NCT00733642","Completed","Biological","All","Interventional","Glendale","California","Phase 1","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"1900","NCT01005862","Completed","Biological","All","Interventional","Glendale","California","Phase 1","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"1948","NCT00024531","Completed","Drug","All","Interventional","Sun City","Arizona","Phase 2","Adult, Senior","AZ","Sun City , AZ","33.5975393","-112.2718239"
"2049","NCT00066157","Completed","Drug","Female","Interventional","Madison","Wisconsin","Phase 2","Adult, Senior","WI","Madison , WI","43.0730517","-89.4012302"
"2096","NCT02947893","Recruiting","Drug","All","Interventional","Washington","District of Columbia","Phase 2","Adult, Senior","DC","Washington , DC","38.9071923","-77.0368707"
"2153","NCT00912288","Terminated","Drug","All","Interventional","Phoenix","Arizona","Phase 3","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"2366","NCT00937352","Terminated","Drug","All","Interventional","Birmingham","Alabama","Phase 3","Adult, Senior","AL","Birmingham , AL","33.5206608","-86.80249"
"2421","NCT00478205","Completed","Drug","All","Interventional","Hickory","North Carolina","Phase 3","Adult, Senior","NC","Hickory , NC","35.7344538","-81.3444573"
"2435","NCT00555204","Terminated","Drug","All","Interventional","Phoenix","Arizona","Phase 2","Adult, Senior","AZ","Phoenix , AZ","33.4483771","-112.0740373"
"2648","NCT00611312","Completed","Behavioral","All","Interventional","Kansas City","Kansas","Phase 2","Adult, Senior","KS","Kansas City , KS","39.114053","-94.6274636"
"2689","NCT00988598","Completed","Drug","All","Interventional","Glendale","California","Phase 1","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"2737","NCT01028911","Terminated","Drug","All","Interventional","Wichita","Kansas","Phase 1","Adult, Senior","KS","Wichita , KS","37.6871761","-97.330053"
